Topik,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,IndoBERT Similarity
Arsitektur,0.08213461036584618,0.3758741671750638,0.1917635658364551,0.3067124889883262,0.7533690583705902
Budaya,0.3726666284510244,0.5996837503384022,0.5106119866210886,0.5540478974986741,0.8601235255599022
Keseluruhan,0.255972495149937,0.5128745473824964,0.3850852473199208,0.4567424598925742,0.8317633231480916
Pemugaran,0.3912404948098971,0.6061275774096773,0.5132866190170433,0.5619890992089628,0.8738086760044098
Sejarah,0.20211033015218746,0.47230368921878063,0.33562031565251893,0.42343528378719014,0.8018707364797593
